Mass,Coupling,Number of Events
0.035,6.309573444801737e-05,2.376248592777059
0.035,7.943282347242562e-05,0.5784936183062682
0.035,9.999999999999673e-05,0.05925491670922745
0.035,0.0001258925411794125,0.0015967799415307835
0.035,0.00015848931924610592,5.405763416303707e-06
0.035,0.00019952623149688094,7.229054038817571e-10
0.035,0.00025118864315094896,6.254435381101067e-16
0.035,0.0003162277660168263,1.920015279264948e-25
0.035,0.0003981071705534823,1.8836695161824935e-40
0.035,0.000501187233627253,3.27500752026477e-64
0.035,0.0006309573444801685,6.935395744018969e-102
0.035,0.0007943282347242497,1.1498949846093255e-161
0.04,1e-08,3.8625759777426e-09
0.04,1.2589254117941661e-08,9.701742894241553e-09
0.04,1.584893192461111e-08,2.4367251049762345e-08
0.04,1.9952623149688747e-08,6.119811430002028e-08
0.04,2.5118864315095718e-08,1.5368429798140467e-07
0.04,3.1622776601683666e-08,3.858846600479481e-07
0.04,3.981071705534953e-08,9.686905304564143e-07
0.04,5.011872336272694e-08,2.430824032202821e-06
0.04,6.309573444801891e-08,6.096355845518123e-06
0.04,7.943282347242757e-08,1.5275284163123708e-05
0.04,9.999999999999919e-08,3.821910717126987e-05
0.04,1.2589254117941558e-07,9.540774763946755e-05
0.04,1.584893192461098e-07,0.00023732174062878446
0.04,1.9952623149688583e-07,0.0005870535398054888
0.04,2.5118864315095516e-07,0.0014397741412149915
0.04,3.1622776601683405e-07,0.0034854200030517875
0.04,3.9810717055349205e-07,0.008276152661110495
0.04,5.011872336272653e-07,0.019116570188587916
0.04,6.30957344480184e-07,0.042534428021184296
0.04,7.943282347242692e-07,0.09028204197334114
0.04,9.999999999999836e-07,0.18147284967998478
0.04,1.2589254117941456e-06,0.34412961627482347
0.04,1.5848931924610849e-06,0.6145408309005966
0.04,1.995262314968842e-06,1.0307804548808555
0.04,2.5118864315095306e-06,1.6149388495098143
0.04,3.162277660168315e-06,2.3403151680966525
0.04,3.981071705534888e-06,3.0939317256174785
0.04,5.011872336272612e-06,3.6861611100888805
0.04,6.309573444801788e-06,3.9954468880015304
0.04,7.943282347242627e-06,4.183832290729991
0.04,9.999999999999755e-06,4.60096818704415
0.04,1.2589254117941353e-05,5.376393300410975
0.04,1.584893192461072e-05,6.3498401892302105
0.04,1.9952623149688258e-05,7.19120014462262
0.04,2.5118864315095104e-05,7.416353969498888
0.04,3.162277660168289e-05,6.568886217805596
0.04,3.981071705534855e-05,4.638889164406871
0.04,5.011872336272571e-05,2.3496916646783066
0.04,6.309573444801737e-05,0.7255755235029376
0.04,7.943282347242562e-05,0.10556498733659832
0.04,9.999999999999673e-05,0.004824985254751137
0.04,0.0001258925411794125,3.7379162230124634e-05
0.04,0.00015848931924610592,1.946077353947299e-08
0.04,0.00019952623149688094,1.571794229079822e-13
0.04,0.00025118864315094896,1.6771129103880219e-21
0.04,0.0003162277660168263,4.165565830814768e-34
0.04,0.0003981071705534823,4.034199925238764e-54
0.04,0.000501187233627253,6.764105993636936e-86
0.04,0.0006309573444801685,2.689358755676081e-136
0.04,0.0007943282347242497,3.3446256275576086e-216
0.045,1e-08,3.03347718250328e-09
0.045,1.2589254117941661e-08,7.619248493206857e-09
0.045,1.584893192461111e-08,1.9136689981001523e-08
0.045,1.9952623149688747e-08,4.8061243913160555e-08
0.045,2.5118864315095718e-08,1.2069275702266975e-07
0.045,3.1622776601683666e-08,3.030406558942951e-07
0.045,3.981071705534953e-08,7.607032028062164e-07
0.045,5.011872336272694e-08,1.9088105181773476e-06
0.045,6.309573444801891e-08,4.786813803650641e-06
0.045,7.943282347242757e-08,1.1992596118965484e-05
0.045,9.999999999999919e-08,3.000003651907868e-05
0.045,1.2589254117941558e-07,7.486770247823007e-05
0.045,1.584893192461098e-07,0.00018614154775537518
0.045,1.9952623149688583e-07,0.00046011081059521466
0.045,2.5118864315095516e-07,0.0011271456486371908
0.045,3.1622776601683405e-07,0.002723792806157741
0.045,3.9810717055349205e-07,0.006450470750567333
0.045,5.011872336272653e-07,0.014841631834684654
0.045,6.30957344480184e-07,0.0328437908530265
0.045,7.943282347242692e-07,0.06922340030956942
0.045,9.999999999999836e-07,0.13799695009465457
0.045,1.2589254117941456e-06,0.2594441515026501
0.045,1.5848931924610849e-06,0.45970208558211934
0.045,1.995262314968842e-06,0.7664450839492501
0.045,2.5118864315095306e-06,1.1967419000126218
0.045,3.162277660168315e-06,1.7340988687558823
0.045,3.981071705534888e-06,2.3018601535283016
0.045,5.011872336272612e-06,2.7700638829812014
0.045,6.309573444801788e-06,3.0590039628906056
0.045,7.943282347242627e-06,3.2919670065563107
0.045,9.999999999999755e-06,3.7175764296913116
