Mass,Coupling,Number of Events
0.02,5.011872336272694e-08,8.468551364672453e-06
0.02,6.309573444801891e-08,2.1242908242241392e-05
0.02,7.943282347242757e-08,5.3244175526297104e-05
0.02,9.999999999999919e-08,0.0001332854738164033
0.02,1.2589254117941558e-07,0.000332989956050285
0.02,1.584893192461098e-07,0.0008293265382571355
0.02,1.9952623149688583e-07,0.0020554463687894524
0.02,2.5118864315095516e-07,0.005056087329631497
0.02,3.1622776601683405e-07,0.012294893276402692
0.02,3.9810717055349205e-07,0.029386925504782335
0.02,5.011872336272653e-07,0.06850497031947272
0.02,6.30957344480184e-07,0.15423682707006717
0.02,7.943282347242692e-07,0.33175126629971635
0.02,9.999999999999836e-07,0.6744791197235916
0.02,1.2589254117941456e-06,1.283787960237092
0.02,1.5848931924610849e-06,2.2658425100965727
0.02,1.995262314968842e-06,3.663785913968286
0.02,2.5118864315095306e-06,5.336764077224229
0.02,3.162277660168315e-06,6.861526574684154
0.02,3.981071705534888e-06,7.69676424461253
0.02,5.011872336272612e-06,7.765442674481199
0.02,6.309573444801788e-06,7.776538234439435
0.02,7.943282347242627e-06,8.410776336197442
0.02,9.999999999999755e-06,9.719841582511407
0.02,1.2589254117941353e-05,11.651470960638587
0.02,1.584893192461072e-05,14.137591829304462
0.02,1.9952623149688258e-05,16.779180214254705
0.02,2.5118864315095104e-05,18.747932303361466
0.02,3.162277660168289e-05,19.071388662057597
0.02,3.981071705534855e-05,17.134925728759644
0.02,5.011872336272571e-05,13.026903585636648
0.02,6.309573444801737e-05,7.769451433881541
0.02,7.943282347242562e-05,3.2161963167567325
0.02,9.999999999999673e-05,0.760052151696093
0.02,0.0001258925411794125,0.07453886122227275
0.02,0.00015848931924610592,0.001842424984091119
0.02,0.00019952623149688094,5.272349874608452e-06
0.02,0.00025118864315094896,4.898294253044668e-10
0.02,0.0003162277660168263,1.85952397814657e-16
0.02,0.0003981071705534823,1.066484516510546e-26
0.02,0.000501187233627253,5.116791318575891e-43
0.02,0.0006309573444801685,5.662960754940925e-69
0.02,0.0007943282347242497,3.370868983820811e-110
0.025,1e-08,9.312103710152712e-09
0.025,1.2589254117941661e-08,2.3389545615394546e-08
0.025,1.584893192461111e-08,5.8746304206760266e-08
0.025,1.9952623149688747e-08,1.47541842705963e-07
0.025,2.5118864315095718e-08,3.7051999723713127e-07
0.025,3.1622776601683666e-08,9.303526003721831e-07
0.025,3.981071705534953e-08,2.335541752689502e-06
0.025,5.011872336272694e-08,5.861056623488122e-06
0.025,6.309573444801891e-08,1.4700226855781381e-05
0.025,7.943282347242757e-08,3.6837699820007106e-05
0.025,9.999999999999919e-08,9.218530820526017e-05
0.025,1.2589254117941558e-07,0.00023019042878827444
0.025,1.584893192461098e-07,0.0005728387492413347
0.025,1.9952623149688583e-07,0.0014179752805055343
0.025,2.5118864315095516e-07,0.0034812659286171843
0.025,3.1622776601683405e-07,0.00844056357420674
0.025,3.9810717055349205e-07,0.020086718603877753
0.025,5.011872336272653e-07,0.046534543084634304
0.025,6.30957344480184e-07,0.10389528350674854
0.025,7.943282347242692e-07,0.22114643061953712
0.025,9.999999999999836e-07,0.4443567765142948
0.025,1.2589254117941456e-06,0.8358288016681882
0.025,1.5848931924610849e-06,1.459311525747613
0.025,1.995262314968842e-06,2.3380260591809874
0.025,2.5118864315095306e-06,3.3819100997056863
0.025,3.162277660168315e-06,4.333594505537495
0.025,3.981071705534888e-06,4.874697488431121
0.025,5.011872336272612e-06,4.969530671254934
0.025,6.309573444801788e-06,5.042355927511939
0.025,7.943282347242627e-06,5.505228210830598
0.025,9.999999999999755e-06,6.4073952800910865
0.025,1.2589254117941353e-05,7.694577311142969
0.025,1.584893192461072e-05,9.241739570535456
0.025,1.9952623149688258e-05,10.685063558549789
0.025,2.5118864315095104e-05,11.40599780061353
0.025,3.162277660168289e-05,10.757826707324437
0.025,3.981071705534855e-05,8.491296281962468
0.025,5.011872336272571e-05,5.187380198960682
0.025,6.309573444801737e-05,2.1704748529537365
0.025,7.943282347242562e-05,0.5098236563823565
0.025,9.999999999999673e-05,0.048762926189353926
0.025,0.0001258925411794125,0.001146292407789676
0.025,0.00015848931924610592,3.039341267022543e-06
0.025,0.00019952623149688094,2.730445652630933e-10
0.025,0.00025118864315094896,1.2377458396991485e-16
0.025,0.0003162277660168263,1.2812233364001932e-26
0.025,0.0003981071705534823,2.0574544408367933e-42
0.025,0.000501187233627253,1.881813738889002e-67
0.025,0.0006309573444801685,3.4587853398955184e-107
0.025,0.0007943282347242497,2.9143795854907502e-170
0.03,1e-08,6.629929942150291e-09
0.03,1.2589254117941661e-08,1.6652595708421578e-08
0.03,1.584893192461111e-08,4.1825307979279024e-08
0.03,1.9952623149688747e-08,1.0504402043405861e-07
0.03,2.5118864315095718e-08,2.6379337101942454e-07
0.03,3.1622776601683666e-08,6.623592592458167e-07
0.03,3.981071705534953e-08,1.66273816921487e-06
0.03,5.011872336272694e-08,4.172502638351697e-06
0.03,6.309573444801891e-08,1.046454042882918e-05
0.03,7.943282347242757e-08,2.6221030073366132e-05
0.03,9.999999999999919e-08,6.560811025480964e-05
0.03,1.2589254117941558e-07,0.00016378955555706434
0.03,1.584893192461098e-07,0.00040745438784182736
0.03,1.9952623149688583e-07,0.0010080378593848812
0.03,2.5118864315095516e-07,0.002472720026520478
0.03,3.1622776601683405e-07,0.00598742941844641
0.03,3.9810717055349205e-07,0.014220698063015496
0.03,5.011872336272653e-07,0.032849900645900224
0.03,6.30957344480184e-07,0.07304749401278686
0.03,7.943282347242692e-07,0.15467258932471237
0.03,9.999999999999836e-07,0.3088696533981703
0.03,1.2589254117941456e-06,0.5772031326992805
0.03,1.5848931924610849e-06,1.001664435412018
0.03,1.995262314968842e-06,1.5970440729294968
0.03,2.5118864315095306e-06,2.3038817203637802
0.03,3.162277660168315e-06,2.954431156052803
0.03,3.981071705534888e-06,3.3428592731290783
0.03,5.011872336272612e-06,3.45070810768536
0.03,6.309573444801788e-06,3.567162390654433
0.03,7.943282347242627e-06,3.9777605666542346
0.03,9.999999999999755e-06,4.704585377166748
0.03,1.2589254117941353e-05,5.634335288057847
0.03,1.584893192461072e-05,6.536791035767186
0.03,1.9952623149688258e-05,7.038083580865187
0.03,2.5118864315095104e-05,6.7355825940966145
0.03,3.162277660168289e-05,5.430881168160401
0.03,3.981071705534855e-05,3.4134780376877063
0.03,5.011872336272571e-05,1.4930850402534386
0.03,6.309573444801737e-05,0.38426368638315567
0.03,7.943282347242562e-05,0.04479507821988805
0.03,9.999999999999673e-05,0.0015578587039040412
0.03,0.0001258925411794125,8.395944325572505e-06
0.03,0.00015848931924610592,2.43831196413596e-09
0.03,0.00019952623149688094,6.468517751251109e-15
0.03,0.00025118864315094896,9.000653923594824e-24
0.03,0.0003162277660168263,7.61691684941414e-38
0.03,0.0003981071705534823,3.47369423227502e-60
0.03,0.000501187233627253,1.2228907905999558e-95
0.03,0.0006309573444801685,6.955731542521793e-152
0.03,0.0007943282347242497,4.3536225577725523e-241
0.035,1e-08,5.0017269312633124e-09
0.035,1.2589254117941661e-08,1.2562949583210735e-08
0.035,1.584893192461111e-08,3.155343689156224e-08
0.035,1.9952623149688747e-08,7.924565202897336e-08
0.035,2.5118864315095718e-08,1.9900435145149008e-07
0.035,3.1622776601683666e-08,4.996705238399908e-07
0.035,3.981071705534953e-08,1.254297042169953e-06
0.035,5.011872336272694e-08,3.147397754582397e-06
0.035,6.309573444801891e-08,7.892981688858501e-06
0.035,7.943282347242757e-08,1.977501220923454e-05
0.035,9.999999999999919e-08,4.946970099412191e-05
0.035,1.2589254117941558e-07,0.00012346201555464545
0.035,1.584893192461098e-07,0.0003069828697181456
0.035,1.9952623149688583e-07,0.0007588907210748847
0.035,2.5118864315095516e-07,0.0018593373010122726
0.035,3.1622776601683405e-07,0.004493877576199874
0.035,3.9810717055349205e-07,0.010643400114835617
0.035,5.011872336272653e-07,0.024483856377808078
0.035,6.30957344480184e-07,0.054120440633471385
0.035,7.943282347242692e-07,0.11368023033468715
0.035,9.999999999999836e-07,0.22476386957308922
0.035,1.2589254117941456e-06,0.41534766480116697
0.035,1.5848931924610849e-06,0.7125535500021423
0.035,1.995262314968842e-06,1.12409235752362
0.035,2.5118864315095306e-06,1.6084808514995974
0.035,3.162277660168315e-06,2.0566691273376883
0.035,3.981071705534888e-06,2.343241157754705
0.035,5.011872336272612e-06,2.475789004553554
0.035,6.309573444801788e-06,2.6664594600340608
0.035,7.943282347242627e-06,3.108388843977906
0.035,9.999999999999755e-06,3.7886430212489057
0.035,1.2589254117941353e-05,4.576877003675373
0.035,1.584893192461072e-05,5.2400495521975134
0.035,1.9952623149688258e-05,5.429346264035727
0.035,2.5118864315095104e-05,4.833481432317218
0.035,3.162277660168289e-05,3.4645163588426344
0.035,3.981071705534855e-05,1.8196541974722462
0.035,5.011872336272571e-05,0.6030855432821275
0.035,6.309573444801737e-05,0.09926309018262157
0.035,7.943282347242562e-05,0.005569548178142713
0.035,9.999999999999673e-05,5.901355431017671e-05
0.035,0.0001258925411794125,4.667851718213565e-08
0.035,0.00015848931924610592,6.478669788243545e-13
0.035,0.00019952623149688094,1.600707797003513e-20
0.035,0.00025118864315094896,1.7173337461104794e-32
0.035,0.0003162277660168263,2.0488806891846876e-51
0.035,0.0003981071705534823,2.118126456119472e-81
0.035,0.000501187233627253,5.7223127796817286e-129
0.035,0.0006309573444801685,1.8783726843180247e-204
0.035,0.0007943282347242497,0.0
0.04,1e-08,3.6784069195985732e-09
0.04,1.2589254117941661e-08,9.239133379750814e-09
0.04,1.584893192461111e-08,2.3205237419754315e-08
0.04,1.9952623149688747e-08,5.8279303590218635e-08
0.04,2.5118864315095718e-08,1.4635271853032005e-07
0.04,3.1622776601683666e-08,3.6746912867609557e-07
0.04,3.981071705534953e-08,9.224350506002194e-07
0.04,5.011872336272694e-08,2.3146444509868086e-06
0.04,6.309573444801891e-08,5.804561482957557e-06
